Date,SPY_Return,AAPL_Return,AAPL_Excess
2020-01-03,-0.004666,-0.009722,-0.005056
2020-01-06,0.008750,0.007934,-0.000816
2020-01-07,-0.005576,-0.004670,0.000906
2020-01-08,0.007788,0.016086,0.008298
