Date,SPY_Return,MSFT_Return,MSFT_Excess
2020-01-03,-0.004666,-0.012452,-0.007786
2020-01-06,0.008750,0.002585,-0.006165
2020-01-07,-0.005576,-0.009118,-0.003542
2020-01-08,0.007788,0.015928,0.008140
