Date,Open,High,Low,Close,Volume
2020-01-02,74.00,75.15,73.80,75.09,34000000
2020-01-03,74.29,75.14,74.13,74.36,36000000
2020-01-06,73.45,74.99,73.18,74.95,35000000
2020-01-07,75.00,75.22,74.37,74.60,34000000
2020-01-08,74.29,76.11,74.29,75.80,37000000
